"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.07.2019","207,74","207,48","209,73","207,14","17,62M","0,35%"
"25.07.2019","207,02","208,89","209,24","206,73","13,91M","-0,79%"
"24.07.2019","208,67","207,67","209,15","207,17","14,99M","-0,08%"
"23.07.2019","208,84","208,46","208,91","207,29","18,36M","0,78%"
"22.07.2019","207,22","203,65","207,23","203,61","22,28M","2,29%"
"19.07.2019","202,59","205,79","206,50","202,36","20,93M","-1,49%"
"18.07.2019","205,66","204,00","205,88","203,70","18,58M","1,14%"
"17.07.2019","203,35","204,05","205,09","203,27","14,11M","-0,56%"
"16.07.2019","204,50","204,59","206,11","203,50","16,87M","-0,35%"
"15.07.2019","205,21","204,09","205,87","204,00","16,95M","0,94%"
"12.07.2019","203,30","202,45","204,00","202,20","17,60M","0,77%"
"11.07.2019","201,75","203,31","204,39","201,71","20,19M","-0,73%"
"10.07.2019","203,23","201,85","203,73","201,56","17,90M","0,99%"
"09.07.2019","201,24","199,20","201,51","198,81","20,58M","0,61%"
"08.07.2019","200,02","200,81","201,40","198,41","25,34M","-2,06%"
"05.07.2019","204,23","203,35","205,08","202,90","17,27M","-0,09%"
"03.07.2019","204,41","203,28","204,44","202,69","11,36M","0,83%"
"02.07.2019","202,73","201,41","203,13","201,36","16,94M","0,59%"
"01.07.2019","201,55","203,17","204,49","200,65","27,32M","1,83%"
"28.06.2019","197,92","198,68","199,50","197,05","31,11M","-0,91%"
"27.06.2019","199,74","200,29","201,57","199,57","20,90M","-0,03%"
"26.06.2019","199,80","197,77","200,99","197,35","26,07M","2,16%"
"25.06.2019","195,57","198,43","199,26","195,29","21,07M","-1,52%"
"24.06.2019","198,58","198,54","200,16","198,17","18,22M","-0,10%"
"21.06.2019","198,78","198,80","200,85","198,15","47,80M","-0,34%"
"20.06.2019","199,46","200,37","200,61","198,03","21,51M","0,80%"
"19.06.2019","197,87","199,68","199,88","197,31","21,12M","-0,29%"
"18.06.2019","198,45","196,05","200,29","195,21","26,55M","2,35%"
"17.06.2019","193,89","192,90","194,96","192,17","14,67M","0,60%"
"14.06.2019","192,74","191,54","193,59","190,30","18,76M","-0,73%"
"13.06.2019","194,15","194,70","196,79","193,60","21,67M","-0,02%"
"12.06.2019","194,19","193,95","195,97","193,38","18,25M","-0,32%"
"11.06.2019","194,81","194,86","196,00","193,60","26,93M","1,16%"
"10.06.2019","192,58","191,81","195,37","191,62","26,22M","1,28%"
"07.06.2019","190,15","186,51","191,92","185,77","30,68M","2,66%"
"06.06.2019","185,22","183,08","185,47","182,15","22,53M","1,47%"
"05.06.2019","182,54","184,28","184,99","181,14","29,77M","1,61%"
"04.06.2019","179,64","175,44","179,83","174,52","30,97M","3,66%"
"03.06.2019","173,30","175,60","177,92","170,27","40,40M","-1,01%"
"31.05.2019","175,07","176,23","177,99","174,99","27,04M","-1,81%"
"30.05.2019","178,30","177,95","179,23","176,67","21,22M","0,52%"
"29.05.2019","177,38","176,42","179,35","176,00","28,48M","-0,48%"
"28.05.2019","178,23","178,92","180,59","177,91","27,95M","-0,41%"
"24.05.2019","178,97","180,20","182,14","178,62","23,71M","-0,38%"
"23.05.2019","179,66","179,80","180,54","177,81","36,53M","-1,71%"
"22.05.2019","182,78","184,66","185,71","182,55","29,75M","-2,05%"
"21.05.2019","186,60","185,22","188,00","184,70","28,36M","1,92%"
"20.05.2019","183,09","183,52","184,35","180,28","38,61M","-3,13%"
"17.05.2019","189,00","186,93","190,90","186,76","32,88M","-0,57%"
"16.05.2019","190,08","189,91","192,47","188,84","33,03M","-0,44%"
"15.05.2019","190,92","186,27","191,75","186,02","26,54M","1,20%"
"14.05.2019","188,66","186,41","189,70","185,41","36,53M","1,58%"
"13.05.2019","185,72","187,71","189,48","182,85","57,43M","-5,81%"
"10.05.2019","197,18","197,42","198,85","192,77","41,21M","-1,76%"
"09.05.2019","200,72","200,40","201,68","196,66","34,91M","-1,07%"
"08.05.2019","202,90","201,90","205,34","201,75","26,34M","0,02%"
"07.05.2019","202,86","205,88","207,42","200,82","38,76M","-2,70%"
"06.05.2019","208,48","204,29","208,84","203,50","32,44M","-1,54%"
"03.05.2019","211,75","210,89","211,84","210,23","20,89M","1,24%"
"02.05.2019","209,15","209,84","212,65","208,13","32,00M","-0,65%"
"01.05.2019","210,52","209,88","215,31","209,23","64,83M","4,91%"
"30.04.2019","200,67","203,06","203,40","199,11","46,53M","-1,93%"
"29.04.2019","204,61","204,40","205,97","203,86","22,20M","0,15%"
